Date,Open,High,Low,Close,Adj Close,Volume
2018-01-04,19517.765625,20025.064453,18558.722656,19838.738281,19838.738281,27703420761
2018-01-05,19683.582031,22519.968750,19354.296875,22169.294922,22169.294922,30324216576
2018-01-06,22210.759766,22529.128906,21323.582031,22293.310547,22293.310547,23295090878
2018-01-07,22293.691406,22360.212891,20460.001953,20971.871094,20971.871094,20193458552
2018-01-08,20970.089844,21035.232422,18145.849609,19339.750000,19339.750000,23475139949
2018-01-09,19280.597656,19731.984375,18456.814453,18688.091797,18688.091797,21331625793
2018-01-10,18679.257813,19083.992188,17481.103516,19083.992188,19083.992188,23579913984
2018-01-11,19077.492188,19146.863281,16642.414063,17001.648438,17001.648438,20969055128
2018-01-12,17062.650391,18083.492188,16676.931641,17674.587891,17674.587891,15253729254
2018-01-13,17638.939453,18532.869141,17638.939453,18154.488281,18154.488281,16136030180
2018-01-14,18167.888672,18346.144531,16773.705078,17417.478516,17417.478516,14018084715
2018-01-15,17411.533203,18147.613281,17200.478516,17365.919922,17365.919922,16022618588
2018-01-16,17386.402344,17384.277344,12810.882813,14417.189453,14417.189453,23655959769
2018-01-17,14342.659180,14577.456055,11788.227539,14036.631836,14036.631836,23623886830
2018-01-18,14049.428711,15141.695313,13714.125000,14334.666016,14334.666016,18763772162
2018-01-19,14278.326172,14976.023438,13938.989258,14527.410156,14527.410156,13442303039
2018-01-20,14588.486328,16399.250000,14588.486328,16144.180664,16144.180664,14770588676
2018-01-21,16131.665039,16140.050781,14117.308594,14498.312500,14498.312500,12417422542
